"date","ARIMA","UCM","ML"
"2017-12-01 00:00:00",26755.4704371161,26578.3744966253,26770.5648981751
"2017-12-01 00:10:00",26264.3202338681,26126.8301643996,26047.4991251701
"2017-12-01 00:20:00",25921.7105640736,25712.5365514248,25266.0777235088
"2017-12-01 00:30:00",25404.342630227,25333.2083107507,25084.2767058528
"2017-12-01 00:40:00",24938.0907855814,24986.5600954276,24573.329831945
"2017-12-01 00:50:00",24543.9808476407,24670.3065585055,24181.2736326861
"2017-12-01 01:00:00",24290.9835619095,24382.1623530346,23769.413749479
"2017-12-01 01:10:00",23982.2021198438,24119.7347108385,23394.9252396211
"2017-12-01 01:20:00",23743.2707265888,23880.2011788362,23028.9483697033
"2017-12-01 01:30:00",23547.2773148795,23660.63188272,22750.5810986369
"2017-12-01 01:40:00",23280.0984006903,23458.0969481824,22538.0382382627
"2017-12-01 01:50:00",23215.3480506849,23269.6665009159,22414.5555730468
"2017-12-01 02:00:00",22937.9549332322,23092.410666613,22272.1098691544
"2017-12-01 02:10:00",22725.8520406957,22923.9366770975,22115.7419483147
"2017-12-01 02:20:00",22521.3688967486,22764.0001887186,21982.2441161593
"2017-12-01 02:30:00",22384.516412209,22612.8939639569,21733.2937209565
"2017-12-01 02:40:00",22336.2945646621,22470.9107652929,21574.0643432002
"2017-12-01 02:50:00",22324.4663239651,22338.3433552073,21297.0131215008
"2017-12-01 03:00:00",22022.4243684849,22215.4844961804,21298.0005912901
"2017-12-01 03:10:00",21988.3400161664,22103.5705642591,21299.2939888604
"2017-12-01 03:20:00",21860.7411680629,22007.612389754,21336.7287353478
"2017-12-01 03:30:00",21731.4421227929,21933.564416542,21354.2826371133
"2017-12-01 03:40:00",21557.4213987676,21887.3810885,21397.447460525
"2017-12-01 03:50:00",21658.5205297011,21875.0168495048,21576.2251492168
"2017-12-01 04:00:00",21692.3658199154,21902.4261434332,21654.6324474425
"2017-12-01 04:10:00",21652.1901656151,21972.0363060945,21709.575371992
"2017-12-01 04:20:00",21509.4353882873,22072.1662410266,21768.467404831
"2017-12-01 04:30:00",21762.9241355296,22187.6077437003,21784.1719201695
"2017-12-01 04:40:00",21947.1247294219,22303.152609586,21843.0640440054
"2017-12-01 04:50:00",22193.4784944113,22403.5926341541,22037.5492451215
"2017-12-01 05:00:00",22301.0558965271,22473.7196128752,22119.8801955039
"2017-12-01 05:10:00",22391.4581666957,22501.4792247176,22736.260831638
